GERMANY;Bundesliga - Herren Ü40;BUNDESLIGA;M40;31.12.2020;;;PoolB;Gold;3;Padel Arena Kamen-Heeren;Tennisverein Espelkamp e.V.;Konwert;Axel;Stork;Christian;Löhbrink;Tobias;Grau;Oliver;2;2;6;0;6;;
GERMANY;Bundesliga - Herren Ü40;BUNDESLIGA;M40;31.12.2020;;;PoolB;Gold;3;Padel Arena Kamen-Heeren;Tennisverein Espelkamp e.V.;Drevermann;Ralf;Kroll;Marco;Haschemi;Hadi;Hiller;Jan;2;3;6;2;6;;
GERMANY;Bundesliga - Herren Ü40;BUNDESLIGA;M40;31.12.2020;;;PoolB;Gold;3;Padel Arena Kamen-Heeren;Tennisverein Espelkamp e.V.;Hill;Frank;Portmann;Maik;Gerth;Andreas;Brettschneider;Christian;2;3;6;6;4;1;6
GERMANY;Bundesliga - Herren Ü40;BUNDESLIGA;M40;31.12.2020;;;PoolB;Gold;3;Padel Arena Kamen-Heeren;Köln West;Portmann;Maik;Stork;Christian;Brinkhoff;Till;Neuhaus;Carsten;2;1;6;4;6;;
GERMANY;Bundesliga - Herren Ü40;BUNDESLIGA;M40;31.12.2020;;;PoolB;Gold;3;Padel Arena Kamen-Heeren;Köln West;Hill;Frank;Witthüsser;Michael;Lindermann;Peter;Schmidt;Oliver;2;0;6;1;6;;
GERMANY;Bundesliga - Herren Ü40;BUNDESLIGA;M40;31.12.2020;;;PoolB;Gold;3;Padel Arena Kamen-Heeren;Köln West;Drevermann;Ralf;Kroll;Marco;Beuning;Henrik;Döttelbeck;Stephan;2;1;6;6;7;;
GERMANY;Bundesliga - Herren Ü40;BUNDESLIGA;M40;31.12.2020;;;PoolB;Gold;3;Tennisverein Espelkamp e.V.;Köln West;Gerth;Andreas;Brettschneider;Christian;Brinkhoff;Till;Neuhaus;Carsten;2;0;6;3;6;;
GERMANY;Bundesliga - Herren Ü40;BUNDESLIGA;M40;31.12.2020;;;PoolB;Gold;3;Tennisverein Espelkamp e.V.;Köln West;Löhbrink;Tobias;Grau;Oliver;Lindermann;Peter;Schmidt;Oliver;2;6;4;4;6;7;5
GERMANY;Bundesliga - Herren Ü40;BUNDESLIGA;M40;31.12.2020;;;PoolB;Gold;3;Tennisverein Espelkamp e.V.;Köln West;Haschemi;Hadi;Hiller;Jan;Beuning;Henrik;Döttelbeck;Stephan;2;6;2;6;2;;

GERMANY;Bundesliga - Herren Ü40;BUNDESLIGA;M40;31.12.2020;;;PoolC;Gold;3;GreenTEC Campus GmbH;Tennisclub TC 71 Weyhe e.V.;Göttgens;Wolfgang;Sommer;Mathias;Wichmann;Kristian;Brokoriow;Danny;2;0;6;1;6;;
GERMANY;Bundesliga - Herren Ü40;BUNDESLIGA;M40;31.12.2020;;;PoolC;Gold;3;GreenTEC Campus GmbH;Tennisclub TC 71 Weyhe e.V.;Holdorf;Torsten;Gummelt;Sven;Busch;Martin;Bremer;Frank;2;0;6;0;6;;
GERMANY;Bundesliga - Herren Ü40;BUNDESLIGA;M40;31.12.2020;;;PoolC;Gold;3;GreenTEC Campus GmbH;Tennisclub TC 71 Weyhe e.V.;Duggan;Stuart;Carstensen;Roloff;Brunotte;Jörg;Münzner;Lars;2;6;1;6;2;;
GERMANY;Bundesliga - Herren Ü40;BUNDESLIGA;M40;31.12.2020;;;PoolC;Gold;3;Sportclub Schwarz-Weiss Cuxhaven;Tennisclub TC 71 Weyhe e.V.;Sukal;Martin;Scheel;Florian;Wichmann;Kristian;Wiederhold;Lutz;2;6;1;6;2;;
GERMANY;Bundesliga - Herren Ü40;BUNDESLIGA;M40;31.12.2020;;;PoolC;Gold;3;Sportclub Schwarz-Weiss Cuxhaven;Tennisclub TC 71 Weyhe e.V.;Viebrock;Lars;Haack;Jan;Busch;Martin;Bremer;Frank;2;6;4;4;6;6;0
GERMANY;Bundesliga - Herren Ü40;BUNDESLIGA;M40;31.12.2020;;;PoolC;Gold;3;Sportclub Schwarz-Weiss Cuxhaven;Tennisclub TC 71 Weyhe e.V.;Kraßmann;Jan;Cavero Pintado;David;Berends;Nils;Plaumann;Sven;2;7;5;6;7;6;7
GERMANY;Bundesliga - Herren Ü40;BUNDESLIGA;M40;31.12.2020;;;PoolC;Gold;3;Sportclub Schwarz-Weiss Cuxhaven;GreenTEC Campus GmbH;Sukal;Martin;Scheel;Florian;Duggan;Stuart;Carstensen;Roloff;2;7;6;7;5;;
GERMANY;Bundesliga - Herren Ü40;BUNDESLIGA;M40;31.12.2020;;;PoolC;Gold;3;Sportclub Schwarz-Weiss Cuxhaven;GreenTEC Campus GmbH;Viebrock;Lars;Haack;Jan;Gummelt;Sven;Sommer;Mathias;2;6;1;6;0;;
GERMANY;Bundesliga - Herren Ü40;BUNDESLIGA;M40;31.12.2020;;;PoolC;Gold;3;Sportclub Schwarz-Weiss Cuxhaven;GreenTEC Campus GmbH;Kraßmann;Jan;Cavero Pintado;David;Göttgens;Wolfgang;Holdorf;Torsten;2;6;1;6;0;;
