Switzerland;SUIPA Competition;O45;José Luis;Narrillos;17.09.2018;450;350;;;
Switzerland;SUIPA Competition;O45;José Luis;Narrillos;08.04.2019;505;55;;;
Switzerland;SUIPA Competition;O45;José Luis;Narrillos;05.06.2019;405;;-100;;
Switzerland;SUIPA Competition;O45;José Luis;Narrillos;17.06.2019;505;100;;;
Switzerland;SUIPA Competition;O45;José Luis;Narrillos;24.06.2019;525;20;;;
Switzerland;SUIPA Competition;O45;José Luis;Narrillos;16.09.2019;175;;-350;;
Switzerland;SUIPA Competition;O45;José Luis;Narrillos;08.04.2020;120;;-55;;
Switzerland;SUIPA Competition;O45;José Luis;Narrillos;17.06.2020;20;;-100;;
Switzerland;SUIPA Competition;O45;José Luis;Narrillos;24.06.2020;0;;-20;;
Switzerland;SUIPA Competition;O45;José Luis;Narrillos;19.07.2020;25;25;;;
Switzerland;SUIPA Competition;O45;Monique;Natanson;05.07.2020;3;3;;;
Switzerland;SUIPA Competition;O45;Monique;Natanson;29.07.2020;6;3;;;
Switzerland;SUIPA Competition;O45;Philippe;Natanson;09.09.2019;15;15;;;
Switzerland;SUIPA Competition;O45;Philippe;Natanson;23.09.2019;25;10;;;
Switzerland;SUIPA Competition;O45;Philippe;Natanson;14.06.2020;35;10;;;
Switzerland;SUIPA Competition;O45;Philippe;Natanson;28.06.2020;41;6;;;
Switzerland;SUIPA Competition;O45;Philippe;Natanson;05.07.2020;45;4;;;
Switzerland;SUIPA Competition;O45;Philippe;Natanson;12.07.2020;51;6;;;
Switzerland;SUIPA Competition;O45;Philippe;Natanson;19.07.2020;66;15;;;
Switzerland;SUIPA Competition;O45;Philippe;Natanson;09.09.2020;51;;-15;;
Switzerland;SUIPA Competition;O45;Philippe;Natanson;20.09.2020;57;6;;;
Switzerland;SUIPA Competition;O45;Philippe;Natanson;23.09.2020;47;;-10;;
Switzerland;SUIPA Competition;O45;Oscar;Oca;03.02.2020;15;15;;;
Switzerland;SUIPA Competition;O45;Oscar;Oca;05.07.2020;21;6;;;
Switzerland;SUIPA Competition;O45;Oscar;Oca;29.08.2020;31;10;;;
Switzerland;SUIPA Competition;O45;Oscar;Oca;24.10.2020;46;15;;;
Switzerland;SUIPA Competition;O45;Luca;Oggiano;29.04.2019;100;100;;;
Switzerland;SUIPA Competition;O45;Luca;Oggiano;24.06.2019;110;10;;;
Switzerland;SUIPA Competition;O45;Luca;Oggiano;26.08.2019;95;;-15;;
Switzerland;SUIPA Competition;O45;Luca;Oggiano;26.08.2019;110;15;;;
Switzerland;SUIPA Competition;O45;Luca;Oggiano;28.10.2019;125;15;;;
Switzerland;SUIPA Competition;O45;Luca;Oggiano;18.11.2019;224;99;;;
Switzerland;SUIPA Competition;O45;Luca;Oggiano;29.04.2020;124;;-100;;
Switzerland;SUIPA Competition;O45;Luca;Oggiano;24.06.2020;114;;-10;;
Switzerland;SUIPA Competition;O45;Luca;Oggiano;28.10.2020;99;;-15;;
Switzerland;SUIPA Competition;O45;Luca;Oggiano;18.11.2020;0;;-99;;
Switzerland;SUIPA Competition;O45;Alberto;Osorio ;18.11.2019;35;35;;;
Switzerland;SUIPA Competition;O45;Alberto;Osorio ;06.09.2020;74;39;;;
Switzerland;SUIPA Competition;O45;Alberto;Osorio ;27.09.2020;174;100;;;
Switzerland;SUIPA Competition;O45;Alberto;Osorio ;18.11.2020;139;;-35;;
Switzerland;SUIPA Competition;O45;Bart;Peeters;08.04.2019;10;10;;;
Switzerland;SUIPA Competition;O45;Bart;Peeters;17.06.2019;109;99;;;
Switzerland;SUIPA Competition;O45;Bart;Peeters;08.04.2020;99;;-10;;
Switzerland;SUIPA Competition;O45;Bart;Peeters;17.06.2020;0;;-99;;
Switzerland;SUIPA Competition;O45;Rafael;Perren;15.02.2020;99;99;;;
Switzerland;SUIPA Competition;O45;Rafael;Perren;29.08.2020;105;6;;;
Switzerland;SUIPA Competition;O45;Rafael;Perren;30.08.2020;205;100;;;
Switzerland;SUIPA Competition;O45;Rafael;Perren;10.10.2020;211;6;;;
Switzerland;SUIPA Competition;O45;Rafael;Perren;21.11.2020;217;6;;;
Switzerland;SUIPA Competition;O45;Rafael;Perren;22.11.2020;232;15;;;
Switzerland;SUIPA Competition;O45;Denis;Perritaz;14.06.2020;15;15;;;
Switzerland;SUIPA Competition;O45;Denis;Perritaz;27.09.2020;25;10;;;
Switzerland;SUIPA Competition;O45;Jaime;Rodríguez San Pedro;27.09.2020;100;100;;;
Switzerland;SUIPA Competition;O45;Daniel;Rosendo;05.07.2020;15;15;;;
Switzerland;SUIPA Competition;O45;Daniel;Rosendo;29.07.2020;21;6;;;
Switzerland;SUIPA Competition;O45;Daniel;Rosendo;05.09.2020;27;6;;;
Switzerland;SUIPA Competition;O45;Fabian;Röthlisberger;13.06.2020;60;60;;;
Switzerland;SUIPA Competition;O45;Roger;Rusca;17.09.2018;50;50;;;
Switzerland;SUIPA Competition;O45;Roger;Rusca;02.09.2019;200;150;;;
Switzerland;SUIPA Competition;O45;Roger;Rusca;16.09.2019;150;;-50;;
Switzerland;SUIPA Competition;O45;Roger;Rusca;13.06.2020;250;100;;;
Switzerland;SUIPA Competition;O45;Roger;Rusca;02.09.2020;100;;-150;;
Switzerland;SUIPA Competition;O45;Meghan;Shanaphy;05.09.2020;3;3;;;
Switzerland;SUIPA Competition;O45;José;Sosa Larrosa;22.04.2019;25;25;;;
Switzerland;SUIPA Competition;O45;José;Sosa Larrosa;17.06.2019;125;100;;;
Switzerland;SUIPA Competition;O45;José;Sosa Larrosa;24.06.2019;160;35;;;
Switzerland;SUIPA Competition;O45;José;Sosa Larrosa;01.07.2019;194;34;;;
Switzerland;SUIPA Competition;O45;José;Sosa Larrosa;16.09.2019;229;35;;;
Switzerland;SUIPA Competition;O45;José;Sosa Larrosa;07.10.2019;379;150;;;
Switzerland;SUIPA Competition;O45;José;Sosa Larrosa;07.10.2019;389;10;;;
Switzerland;SUIPA Competition;O45;José;Sosa Larrosa;22.04.2020;364;;-25;;
Switzerland;SUIPA Competition;O45;José;Sosa Larrosa;13.06.2020;464;100;;;
Switzerland;SUIPA Competition;O45;José;Sosa Larrosa;17.06.2020;364;;-100;;
Switzerland;SUIPA Competition;O45;José;Sosa Larrosa;24.06.2020;329;;-35;;
Switzerland;SUIPA Competition;O45;José;Sosa Larrosa;01.07.2020;295;;-34;;
Switzerland;SUIPA Competition;O45;José;Sosa Larrosa;30.08.2020;335;40;;;
Switzerland;SUIPA Competition;O45;José;Sosa Larrosa;13.09.2020;350;15;;;
Switzerland;SUIPA Competition;O45;José;Sosa Larrosa;16.09.2020;315;;-35;;
Switzerland;SUIPA Competition;O45;José;Sosa Larrosa;07.10.2020;165;;-150;;
Switzerland;SUIPA Competition;O45;José;Sosa Larrosa;07.10.2020;155;;-10;;
Switzerland;SUIPA Competition;O45;Suat;Ulusoy;23.04.2018;35;35;;;
Switzerland;SUIPA Competition;O45;Suat;Ulusoy;22.04.2019;0;;-35;;
Switzerland;SUIPA Competition;O45;Marcus;Veith;27.09.2020;80;80;;;
Switzerland;SUIPA Competition;O45;Sebastien;Vignal;26.03.2018;100;100;;;
Switzerland;SUIPA Competition;O45;Sebastien;Vignal;07.05.2018;200;100;;;
Switzerland;SUIPA Competition;O45;Sebastien;Vignal;11.03.2019;350;150;;;
Switzerland;SUIPA Competition;O45;Sebastien;Vignal;25.03.2019;250;;-100;;
Switzerland;SUIPA Competition;O45;Sebastien;Vignal;08.04.2019;310;60;;;
Switzerland;SUIPA Competition;O45;Sebastien;Vignal;29.04.2019;360;50;;;
Switzerland;SUIPA Competition;O45;Sebastien;Vignal;06.05.2019;260;;-100;;
Switzerland;SUIPA Competition;O45;Sebastien;Vignal;17.06.2019;310;50;;;
Switzerland;SUIPA Competition;O45;Sebastien;Vignal;23.09.2019;410;100;;;
Switzerland;SUIPA Competition;O45;Sebastien;Vignal;18.11.2019;660;250;;;
Switzerland;SUIPA Competition;O45;Sebastien;Vignal;11.03.2020;510;;-150;;
Switzerland;SUIPA Competition;O45;Sebastien;Vignal;08.04.2020;450;;-60;;
Switzerland;SUIPA Competition;O45;Sebastien;Vignal;29.04.2020;400;;-50;;
Switzerland;SUIPA Competition;O45;Sebastien;Vignal;17.06.2020;350;;-50;;
Switzerland;SUIPA Competition;O45;Sebastien;Vignal;23.09.2020;250;;-100;;
Switzerland;SUIPA Competition;O45;Sebastien;Vignal;27.09.2020;350;100;;;
Switzerland;SUIPA Competition;O45;Sebastien;Vignal;18.11.2020;100;;-250;;
Switzerland;SUIPA Competition;O45;Daniel;Viola;26.08.2019;15;15;;;
Switzerland;SUIPA Competition;O45;Daniel;Viola;09.09.2019;30;15;;;
Switzerland;SUIPA Competition;O45;Daniel;Viola;23.09.2019;44;14;;;
Switzerland;SUIPA Competition;O45;Daniel;Viola;14.06.2020;58;14;;;
Switzerland;SUIPA Competition;O45;Daniel;Viola;28.06.2020;64;6;;;
Switzerland;SUIPA Competition;O45;Daniel;Viola;05.07.2020;68;4;;;
Switzerland;SUIPA Competition;O45;Daniel;Viola;19.07.2020;83;15;;;
Switzerland;SUIPA Competition;O45;Daniel;Viola;26.08.2020;68;;-15;;
Switzerland;SUIPA Competition;O45;Daniel;Viola;09.09.2020;53;;-15;;
Switzerland;SUIPA Competition;O45;Daniel;Viola;20.09.2020;63;10;;;
Switzerland;SUIPA Competition;O45;Daniel;Viola;23.09.2020;49;;-14;;
Switzerland;SUIPA Competition;O45;Marie Laure;Viola;18.11.2019;35;35;;;
Switzerland;SUIPA Competition;O45;Marie Laure;Viola;18.11.2020;0;;-35;;
Switzerland;SUIPA Competition;O45;Vincent;Vuilleumier;17.10.2020;6;6;;;
Switzerland;SUIPA Competition;O45;Fabien;Zemp;29.07.2020;6;6;;;
Switzerland;SUIPA Competition;O45;Fabien;Zemp;05.09.2020;12;6;;;
Switzerland;SUIPA Competition;O45;Fabien;Zemp;27.09.2020;112;100;;;
Switzerland;SUIPA Competition;O45;Roberto;Zimmermann;10.09.2018;50;50;;;
Switzerland;SUIPA Competition;O45;Roberto;Zimmermann;24.06.2019;75;25;;;
Switzerland;SUIPA Competition;O45;Roberto;Zimmermann;09.09.2019;25;;-50;;
Switzerland;SUIPA Competition;O45;Roberto;Zimmermann;07.10.2019;124;99;;;
Switzerland;SUIPA Competition;O45;Roberto;Zimmermann;15.02.2020;164;40;;;
Switzerland;SUIPA Competition;O45;Roberto;Zimmermann;24.06.2020;139;;-25;;
Switzerland;SUIPA Competition;O45;Roberto;Zimmermann;07.10.2020;40;;-99;;
Switzerland;SUIPA Competition;O18;Colin;Baumann;13.06.2020;4;4;;;
Switzerland;SUIPA Competition;O18;Colin;Baumann;27.09.2020;154;150;;;
Switzerland;SUIPA Competition;O18;Yohan;Blanchard;12.07.2020;15;15;;;
Switzerland;SUIPA Competition;O18;Théo;Bourquin;27.09.2020;20;20;;;
Switzerland;SUIPA Competition;O18;Alexandre;Bravard;05.09.2020;15;15;;;
Switzerland;SUIPA Competition;O18;Alexandre;Bravard;27.09.2020;265;250;;;
Switzerland;SUIPA Competition;O18;Thinley;Cailler;27.09.2020;20;20;;;
Switzerland;SUIPA Competition;O18;Loris;Gómez;22.04.2019;10;10;;;
Switzerland;SUIPA Competition;O18;Loris;Gómez;23.09.2019;35;25;;;
Switzerland;SUIPA Competition;O18;Loris;Gómez;03.02.2020;45;10;;;
Switzerland;SUIPA Competition;O18;Loris;Gómez;03.02.2020;49;4;;;
Switzerland;SUIPA Competition;O18;Loris;Gómez;22.04.2020;39;;-10;;
Switzerland;SUIPA Competition;O18;Loris;Gómez;14.06.2020;43;4;;;
Switzerland;SUIPA Competition;O18;Loris;Gómez;05.07.2020;68;25;;;
Switzerland;SUIPA Competition;O18;Loris;Gómez;26.07.2020;74;6;;;
Switzerland;SUIPA Competition;O18;Loris;Gómez;16.08.2020;80;6;;;
Switzerland;SUIPA Competition;O18;Loris;Gómez;20.09.2020;95;15;;;
Switzerland;SUIPA Competition;O18;Loris;Gómez;23.09.2020;70;;-25;;
Switzerland;SUIPA Competition;O18;Loris;Gómez;27.09.2020;220;150;;;
Switzerland;SUIPA Competition;O18;Santiago;Kalt;13.06.2020;3;3;;;
Switzerland;SUIPA Competition;O18;Pamay;Levin;13.06.2020;3;3;;;
Switzerland;SUIPA Competition;O18;Edouard;Natanson;09.09.2019;15;15;;;
Switzerland;SUIPA Competition;O18;Edouard;Natanson;23.09.2019;25;10;;;
Switzerland;SUIPA Competition;O18;Edouard;Natanson;14.06.2020;35;10;;;
Switzerland;SUIPA Competition;O18;Edouard;Natanson;28.06.2020;41;6;;;
Switzerland;SUIPA Competition;O18;Edouard;Natanson;05.07.2020;44;3;;;
Switzerland;SUIPA Competition;O18;Edouard;Natanson;12.07.2020;50;6;;;
Switzerland;SUIPA Competition;O18;Edouard;Natanson;05.09.2020;65;15;;;
Switzerland;SUIPA Competition;O18;Edouard;Natanson;09.09.2020;50;;-15;;
Switzerland;SUIPA Competition;O18;Edouard;Natanson;20.09.2020;56;6;;;
Switzerland;SUIPA Competition;O18;Edouard;Natanson;23.09.2020;46;;-10;;
Switzerland;SUIPA Competition;O18;Edouard;Natanson;27.09.2020;296;250;;;
Switzerland;SUIPA Competition;O18;Edouard;Natanson;17.10.2020;302;6;;;
Switzerland;SUIPA Competition;O18;Théo;Orlando;27.09.2020;400;400;;;
Switzerland;SUIPA Competition;O18;Timo;Protopapas;27.09.2020;149;149;;;
Switzerland;SUIPA Competition;O18;Lenny;Riillo;13.06.2020;4;4;;;
Switzerland;SUIPA Competition;O18;Luis;Rodríguez San Pedro;27.09.2020;149;149;;;
Switzerland;SUIPA Competition;O18;Oscar;Rohr;13.06.2020;4;4;;;
Switzerland;SUIPA Competition;O18;Oscar;Rohr;27.09.2020;44;40;;;
Switzerland;SUIPA Competition;O18;Victor;Rohr;13.06.2020;4;4;;;
Switzerland;SUIPA Competition;O18;Victor;Rohr;27.09.2020;44;40;;;
Switzerland;SUIPA Competition;O18;Luca;Viola;26.08.2019;15;15;;;
Switzerland;SUIPA Competition;O18;Luca;Viola;09.09.2019;30;15;;;
Switzerland;SUIPA Competition;O18;Luca;Viola;23.09.2019;45;15;;;
Switzerland;SUIPA Competition;O18;Luca;Viola;14.06.2020;59;14;;;
Switzerland;SUIPA Competition;O18;Luca;Viola;26.08.2020;44;;-15;;
Switzerland;SUIPA Competition;O18;Luca;Viola;09.09.2020;29;;-15;;
Switzerland;SUIPA Competition;O18;Luca;Viola;09.09.2020;14;;-15;;
Switzerland;SUIPA Competition;O18;Luca;Viola;20.09.2020;24;10;;;
Switzerland;SUIPA Competition;O18;Luca;Viola;27.09.2020;174;150;;;
Switzerland;SUIPA Competition;O18;Mattias;Viola;27.09.2020;150;150;;;
Switzerland;SUIPA Competition;O18;Milo;Visinand;28.06.2020;60;60;;;
Switzerland;SUIPA Competition;O18;Milo;Visinand;19.07.2020;100;40;;;
Switzerland;SUIPA Competition;O18;Milo;Visinand;27.09.2020;500;400;;;
Switzerland;SUIPA Competition;O;Nicolas;Aimon;26.08.2019;35;35;;;
Switzerland;SUIPA Competition;O;Nicolas;Aimon;09.09.2019;70;35;;;
Switzerland;SUIPA Competition;O;Nicolas;Aimon;28.06.2020;170;100;;;
Switzerland;SUIPA Competition;O;Nicolas;Aimon;05.07.2020;210;40;;;
Switzerland;SUIPA Competition;O;Nicolas;Aimon;26.08.2020;175;;-35;;
Switzerland;SUIPA Competition;O;Nicolas;Aimon;09.09.2020;140;;-35;;
Switzerland;SUIPA Competition;O;Nicolas;Aimon;31.10.2020;180;40;;;
Switzerland;SUIPA Competition;O;Ricardo;Alegre-Basarte;13.06.2020;10;10;;;
Switzerland;SUIPA Competition;O;Ricardo;Alegre-Basarte;25.07.2020;16;6;;;
Switzerland;SUIPA Competition;O;Philipp;Alex Gehrig;28.05.2018;35;35;;;
Switzerland;SUIPA Competition;O;Philipp;Alex Gehrig;15.10.2018;40;5;;;
Switzerland;SUIPA Competition;O;Philipp;Alex Gehrig;15.04.2019;55;15;;;
Switzerland;SUIPA Competition;O;Philipp;Alex Gehrig;27.05.2019;20;;-35;;
Switzerland;SUIPA Competition;O;Philipp;Alex Gehrig;14.10.2019;15;;-5;;
Switzerland;SUIPA Competition;O;Philipp;Alex Gehrig;08.04.2020;0;;-15;;
Switzerland;SUIPA Competition;O;Jonatan;Alonso;03.02.2020;39;39;;;
Switzerland;SUIPA Competition;O;Jonatan;Alonso;26.07.2020;64;25;;;
Switzerland;SUIPA Competition;O;Jonatan;Alonso;16.08.2020;78;14;;;
Switzerland;SUIPA Competition;O;Jonatan;Alonso;13.09.2020;93;15;;;
Switzerland;SUIPA Competition;O;Jonatan;Alonso;15.11.2020;103;10;;;
Switzerland;SUIPA Competition;O;Jonatan;Alonso;22.11.2020;118;15;;;
Switzerland;SUIPA Competition;O;Manuel;Álvarez;05.09.2020;3;3;;;
Switzerland;SUIPA Competition;O;Manuel;Álvarez;12.09.2020;7;4;;;
Switzerland;SUIPA Competition;O;Martin;Angst;23.08.2020;4;4;;;
Switzerland;SUIPA Competition;O;Martin;Angst;23.09.2020;10;6;;;
Switzerland;SUIPA Competition;O;Martin;Angst;24.10.2020;13;3;;;
Switzerland;SUIPA Competition;O;Philip;Angst;13.06.2020;5;5;;;
Switzerland;SUIPA Competition;O;Philip;Angst;25.07.2020;11;6;;;
Switzerland;SUIPA Competition;O;Philip;Angst;23.08.2020;15;4;;;
Switzerland;SUIPA Competition;O;Philip;Angst;20.09.2020;21;6;;;
Switzerland;SUIPA Competition;O;Philip;Angst;24.10.2020;24;3;;;
Switzerland;SUIPA Competition;O;Philip;Angst;14.11.2020;27;3;;;
Switzerland;SUIPA Competition;O;Brian;Anker;09.09.2019;25;25;;;
Switzerland;SUIPA Competition;O;Brian;Anker;23.09.2019;30;5;;;
Switzerland;SUIPA Competition;O;Brian;Anker;05.07.2020;35;5;;;
Switzerland;SUIPA Competition;O;Brian;Anker;09.09.2020;10;;-25;;
Switzerland;SUIPA Competition;O;Brian;Anker;23.09.2020;5;;-5;;
Switzerland;SUIPA Competition;O;Claude;Anker;09.09.2019;25;25;;;
Switzerland;SUIPA Competition;O;Claude;Anker;23.09.2019;30;5;;;
Switzerland;SUIPA Competition;O;Claude;Anker;28.06.2020;36;6;;;
Switzerland;SUIPA Competition;O;Claude;Anker;05.07.2020;41;5;;;
Switzerland;SUIPA Competition;O;Claude;Anker;09.09.2020;16;;-25;;
Switzerland;SUIPA Competition;O;Claude;Anker;23.09.2020;11;;-5;;
Switzerland;SUIPA Competition;O;Jonathan;Anker;31.12.2018;0;0;;;
Switzerland;SUIPA Competition;O;Jonathan;Anker;29.07.2020;4;4;;;
Switzerland;SUIPA Competition;O;Sergio;Antonini;31.12.2018;0;0;;;
Switzerland;SUIPA Competition;O;Sergio;Antonini;04.11.2019;5;5;;;
Switzerland;SUIPA Competition;O;Sergio;Antonini;14.06.2020;20;15;;;
Switzerland;SUIPA Competition;O;Sergio;Antonini;28.06.2020;35;15;;;
Switzerland;SUIPA Competition;O;Sergio;Antonini;04.11.2020;30;;-5;;
Switzerland;SUIPA Competition;O;Daniel;Arévalo;26.03.2018;100;100;;;
Switzerland;SUIPA Competition;O;Daniel;Arévalo;23.04.2018;200;100;;;
Switzerland;SUIPA Competition;O;Daniel;Arévalo;28.05.2018;299;99;;;
Switzerland;SUIPA Competition;O;Daniel;Arévalo;25.06.2018;334;35;;;
Switzerland;SUIPA Competition;O;Daniel;Arévalo;20.08.2018;369;35;;;
Switzerland;SUIPA Competition;O;Daniel;Arévalo;25.03.2019;269;;-100;;
Switzerland;SUIPA Competition;O;Daniel;Arévalo;22.04.2019;169;;-100;;
Switzerland;SUIPA Competition;O;Daniel;Arévalo;27.05.2019;70;;-99;;
Switzerland;SUIPA Competition;O;Daniel;Arévalo;24.06.2019;35;;-35;;
Switzerland;SUIPA Competition;O;Daniel;Arévalo;19.08.2019;0;;-35;;
Switzerland;SUIPA Competition;O;Felipe;Asustado;14.11.2020;3;3;;;
Switzerland;SUIPA Competition;O;Simon;Bachmann;31.12.2018;0;0;;;
Switzerland;SUIPA Competition;O;Simon;Bachmann;16.08.2020;25;25;;;
Switzerland;SUIPA Competition;O;Christian;Baertsch;12.09.2020;6;6;;;
Switzerland;SUIPA Competition;O;Patrick;Bänziguer;31.12.2018;0;0;;;
Switzerland;SUIPA Competition;O;Javier;Barbero;05.07.2020;14;14;;;
Switzerland;SUIPA Competition;O;Javier;Barbero;16.08.2020;29;15;;;
Switzerland;SUIPA Competition;O;Javier;Barbero;10.10.2020;44;15;;;
Switzerland;SUIPA Competition;O;Sascha;Bärenbold;23.04.2018;25;25;;;
Switzerland;SUIPA Competition;O;Sascha;Bärenbold;30.04.2018;75;50;;;
Switzerland;SUIPA Competition;O;Sascha;Bärenbold;28.05.2018;174;99;;;
Switzerland;SUIPA Competition;O;Sascha;Bärenbold;10.09.2018;324;150;;;
Switzerland;SUIPA Competition;O;Sascha;Bärenbold;15.10.2018;334;10;;;
Switzerland;SUIPA Competition;O;Sascha;Bärenbold;22.04.2019;368;34;;;
Switzerland;SUIPA Competition;O;Sascha;Bärenbold;22.04.2019;343;;-25;;
Switzerland;SUIPA Competition;O;Sascha;Bärenbold;29.04.2019;293;;-50;;
Switzerland;SUIPA Competition;O;Sascha;Bärenbold;27.05.2019;194;;-99;;
Switzerland;SUIPA Competition;O;Sascha;Bärenbold;09.09.2019;44;;-150;;
Switzerland;SUIPA Competition;O;Sascha;Bärenbold;14.10.2019;34;;-10;;
Switzerland;SUIPA Competition;O;Sascha;Bärenbold;22.04.2020;0;;-34;;
Switzerland;SUIPA Competition;O;Sascha;Bärenbold;13.06.2020;15;15;;;
Switzerland;SUIPA Competition;O;Sascha;Bärenbold;28.06.2020;55;40;;;
Switzerland;SUIPA Competition;O;Sascha;Bärenbold;22.08.2020;94;39;;;
Switzerland;SUIPA Competition;O;Sascha;Bärenbold;23.08.2020;104;10;;;
Switzerland;SUIPA Competition;O;Sascha;Bärenbold;10.10.2020;110;6;;;
Switzerland;SUIPA Competition;O;Sascha;Bärenbold;15.11.2020;125;15;;;
Switzerland;SUIPA Competition;O;Arnau;Barrera Cot;15.10.2018;55;55;;;
Switzerland;SUIPA Competition;O;Arnau;Barrera Cot;18.03.2019;80;25;;;
Switzerland;SUIPA Competition;O;Arnau;Barrera Cot;01.07.2019;180;100;;;
Switzerland;SUIPA Competition;O;Arnau;Barrera Cot;16.09.2019;230;50;;;
Switzerland;SUIPA Competition;O;Arnau;Barrera Cot;07.10.2019;265;35;;;
Switzerland;SUIPA Competition;O;Arnau;Barrera Cot;14.10.2019;210;;-55;;
Switzerland;SUIPA Competition;O;Arnau;Barrera Cot;18.03.2020;185;;-25;;
Switzerland;SUIPA Competition;O;Arnau;Barrera Cot;01.07.2020;85;;-100;;
Switzerland;SUIPA Competition;O;Arnau;Barrera Cot;16.09.2020;35;;-50;;
Switzerland;SUIPA Competition;O;Arnau;Barrera Cot;07.10.2020;0;;-35;;
Switzerland;SUIPA Competition;O;Joao;Barroso;03.02.2020;10;10;;;
Switzerland;SUIPA Competition;O;Joao;Barroso;13.06.2020;20;10;;;
Switzerland;SUIPA Competition;O;Joao;Barroso;05.07.2020;35;15;;;
Switzerland;SUIPA Competition;O;Joao;Barroso;30.08.2020;50;15;;;
Switzerland;SUIPA Competition;O;Christoph;Baumann;14.11.2020;6;6;;;
Switzerland;SUIPA Competition;O;Christoph;Baumann;21.11.2020;21;15;;;
Switzerland;SUIPA Competition;O;Colin;Baumann;13.06.2020;4;4;;;
Switzerland;SUIPA Competition;O;Patrick;Baumann;31.12.2018;0;0;;;
Switzerland;SUIPA Competition;O;Jérôme ;Bays;04.11.2019;25;25;;;
Switzerland;SUIPA Competition;O;Jérôme ;Bays;04.11.2020;0;;-25;;
Switzerland;SUIPA Competition;O;Luc;Béday;31.12.2018;0;0;;;
Switzerland;SUIPA Competition;O;Luc;Béday;29.07.2020;15;15;;;
Switzerland;SUIPA Competition;O;Jeremy;Behrstock;26.03.2018;50;50;;;
Switzerland;SUIPA Competition;O;Jeremy;Behrstock;07.05.2018;150;100;;;
Switzerland;SUIPA Competition;O;Jeremy;Behrstock;17.09.2018;300;150;;;
Switzerland;SUIPA Competition;O;Jeremy;Behrstock;25.03.2019;250;;-50;;
Switzerland;SUIPA Competition;O;Jeremy;Behrstock;05.06.2019;150;;-100;;
Switzerland;SUIPA Competition;O;Jeremy;Behrstock;16.09.2019;0;;-150;;
Switzerland;SUIPA Competition;O;Jeremy;Behrstock;07.10.2019;35;35;;;
Switzerland;SUIPA Competition;O;Jeremy;Behrstock;07.10.2020;0;;-35;;
Switzerland;SUIPA Competition;O;Álvaro;Bello;01.10.2018;35;35;;;
Switzerland;SUIPA Competition;O;Álvaro;Bello;29.04.2019;85;50;;;
Switzerland;SUIPA Competition;O;Álvaro;Bello;29.09.2019;50;;-35;;
Switzerland;SUIPA Competition;O;Álvaro;Bello;07.10.2019;150;100;;;
Switzerland;SUIPA Competition;O;Álvaro;Bello;07.10.2019;50;;-100;;
Switzerland;SUIPA Competition;O;Álvaro;Bello;28.10.2019;149;99;;;
Switzerland;SUIPA Competition;O;Álvaro;Bello;04.11.2019;249;100;;;
Switzerland;SUIPA Competition;O;Álvaro;Bello;09.12.2019;349;100;;;
Switzerland;SUIPA Competition;O;Álvaro;Bello;22.04.2020;299;;-50;;
Switzerland;SUIPA Competition;O;Álvaro;Bello;13.06.2020;359;60;;;
Switzerland;SUIPA Competition;O;Álvaro;Bello;25.07.2020;459;100;;;
Switzerland;SUIPA Competition;O;Álvaro;Bello;15.08.2020;558;99;;;
Switzerland;SUIPA Competition;O;Álvaro;Bello;22.08.2020;708;150;;;
Switzerland;SUIPA Competition;O;Álvaro;Bello;13.09.2020;808;100;;;
Switzerland;SUIPA Competition;O;Álvaro;Bello;27.09.2020;978;170;;;
Switzerland;SUIPA Competition;O;Álvaro;Bello;17.10.2020;1078;100;;;
Switzerland;SUIPA Competition;O;Álvaro;Bello;25.10.2020;1328;250;;;
Switzerland;SUIPA Competition;O;Álvaro;Bello;28.10.2020;1229;;-99;;
Switzerland;SUIPA Competition;O;Amine;Ben Abeljalill;26.08.2019;35;35;;;
Switzerland;SUIPA Competition;O;Amine;Ben Abeljalill;26.08.2019;0;;-35;;
Switzerland;SUIPA Competition;O;Amine;Ben Abeljalill;09.09.2019;35;35;;;
Switzerland;SUIPA Competition;O;Amine;Ben Abeljalill;18.11.2019;135;100;;;
Switzerland;SUIPA Competition;O;Amine;Ben Abeljalill;28.06.2020;235;100;;;
Switzerland;SUIPA Competition;O;Amine;Ben Abeljalill;05.07.2020;275;40;;;
Switzerland;SUIPA Competition;O;Amine;Ben Abeljalill;19.07.2020;315;40;;;
Switzerland;SUIPA Competition;O;Amine;Ben Abeljalill;16.08.2020;355;40;;;
Switzerland;SUIPA Competition;O;Amine;Ben Abeljalill;09.09.2020;320;;-35;;
Switzerland;SUIPA Competition;O;Amine;Ben Abeljalill;27.09.2020;360;40;;;
Switzerland;SUIPA Competition;O;Amine;Ben Abeljalill;17.10.2020;460;100;;;
Switzerland;SUIPA Competition;O;Amine;Ben Abeljalill;18.11.2020;360;;-100;;
Switzerland;SUIPA Competition;O;Amine;Ben Abeljalill;31.10.2020;400;40;;;
Switzerland;SUIPA Competition;O;Mischa;Bertschi;20.08.2018;35;35;;;
Switzerland;SUIPA Competition;O;Mischa;Bertschi;10.09.2018;135;100;;;
Switzerland;SUIPA Competition;O;Mischa;Bertschi;19.08.2019;100;;-35;;
Switzerland;SUIPA Competition;O;Mischa;Bertschi;09.09.2019;0;;-100;;
Switzerland;SUIPA Competition;O;Reto;Bertschi;10.09.2018;99;99;;;
