GERMANY;TC Niddapark Frankfurt;Frankfurt;Hessen;60431;;;Am Ginnheimer Wäldchen 1;0;1;www.padel-frankfurt.de;;
GERMANY;Padel RheinMain;Frankfurt;Hessen;65719;;;Nassaustraße 32;2;0;www.padelrheinmain.de;;
GERMANY;Padel Sport Nordheide;Buchholz in der Nordheide;Niedersachsen;21244;;;Up de hoge Luft 15;0;2;www.padelsport-nordheide.de;;
GERMANY;Sportclub Schwarz-Weiss Cuxhaven;Cuxhaven;Niedersachsen;27474;;;Feldweg 66/68;0;2;www.sw-cuxhaven.de/padel/;;
GERMANY;Tennisverein Espelkamp e.V.;Espelkamp;Niedersachsen;32339;;;Trakehner Str. 14;0;2;www.padel-espelkamp.de;;
GERMANY;Racket Sport Park Osnabrück;Osnabrück;Niedersachsen;49078;;;Große Schulstraße 75a;1;0;www.RacketSportPark.de/;PorticoSport;
GERMANY;TC Gelb-Weiss Sulingen e.V.;Sulingen;Niedersachsen;27232;;;Im Bürgerpark 1;0;1;www.TC-Sulingen.de;;
GERMANY;padelworld Bochum;Bochum;NRW;44892;;;Am Leithenhaus 14;0;4;www.padelworld-bochum.de/;Adidas Padel;
GERMANY;ONE.TWO center;Dortmund;NRW;44139;;;Bunsen-Kirchhoff-Strasse 9;2;2;https://www.onetwo.center/courts/padel;Trendsport Rummenigge;
GERMANY;TG Nord Düsseldorf e.V.;Düsseldorf;NRW;40474;;;Neusser Weg 92;0;2;https://www.tgnord.de/;;
GERMANY;TVN-Essen;Essen;NRW;45356;;;Hafenstraße 10;2;0;www.tvn-padel.de;;
GERMANY;Padel Point NRW;Herne;NRW;-;;;-;3;0;-;;
GERMANY;Padel-Point;Herzebrock-Clarholz;NRW;33442;;;Hans-Böckler-Str. 29-35;0;1;www.herzebrock-clarholz.de;;
GERMANY;Padel Arena Boente;Kamen;NRW;59174;;;Heerener Str. 197A;0;2;www.padel-arena.de;;
GERMANY;walls der Padelfaktor;Köln;NRW;50858;;;Kronstädterstr. 100;4;0;www.walls.de;padel colonia;
GERMANY;Unisport Köln;Köln;NRW;50674;;;Zülpicher Wall 1;0;2;unisport.koeln/sportspiele/padel/index_ger.html;padel colonia;
GERMANY;Köln West;Köln;NRW;-;;;-;0;0;-;;
GERMANY;Tennis-Club Weiden e.V.;Köln;NRW;50858;;;Kronstädterstr. 100;0;2;;;
GERMANY;Soccer GmbH Münster;Münster;NRW;48153;;;Trauttmansdorffstr. 111;1;0;www.soccer-halle.de/padel-tennis/;Trendsport Rummenigge;2017
GERMANY;PADELBASE Werne;Werne;NRW;59368;;;Baaken 41a;2;1;www.padelbase.de;Trendsport Rummenigge;
GERMANY;Idsteiner TC Grün-Weiß e.V.;Idstein;Rheinland Pfalz;65510;;;Himmelsbornweg 3;0;1;https://www.tennisclub-idstein.de/;Padelcreations;2019
GERMANY;Tennisclub Trier 1888 e.V.;Trier;Rheinland Pfalz;54292;;;Am Stadion 1;0;1;www.tennisclub-trier.de/anlage/#paddel;;
GERMANY;Pfrimmpark Arena;Worms;Rheinland Pfalz;67549;;;Wehrgasse 20;0;2;pfrimmpark-arena.de/paddletennis;;
GERMANY;Padel Leipzig;Leipzig;Sachsen;04179;;;Franz-Flemming-Straße 3a;4;0;www.padelleipzig.de;Jubo Padel;
GERMANY;Hallescher Tennisclub Peißnitz e.V.;Halle/Saale;Sachsen-Anhalt;06108;;;Peißnitzinsel 5a;0;1;https://www.htcpeissnitz.de/;Padelcreations;2019
GERMANY;GreenTEC Campus GmbH;Enge-Sande;Schleswig-Holstein;25917;;;Lecker Str. 7;0;2;https://www.greentec-campus.de/padel/;;2020
GERMANY;Sportpark Kiel;Kiel;Schleswig-Holstein;24145;;;Braunstraße 40;1;0;https://www.sportpark-kiel.de/padel-tennis/;Padelcreations;2019
