NPB-100-HK;MO;27.01.2019;;;KO4;Gold;2;Arwin;Romeijn;Steven;Gilberts;Brando;Kamp;Mathijs;Ter Haar;2;3;6;6;4;10;8
NPB-100-HK;MO;27.01.2019;;;KO4;Gold;2;Leander;van der Vaart;Erik;de Wit;Berend;Boers;Pjotr;van Dalfsen;2;1;6;2;6;;
NPB-100-HK;MO;27.01.2019;;;KO2;Gold;2;Peter;Bruijsten;Peter;Amerika;Victor;van Ruissen;Sven;Boele;2;6;2;6;1;;
NPB-100-HK;MO;27.01.2019;;;KO2;Gold;2;Arwin;Romeijn;Steven;Gilberts;Berend;Boers;Pjotr;van Dalfsen;2;6;3;6;4;;
NPB-100-HK;MO;27.01.2019;;;KO1;Gold;2;Peter;Bruijsten;Peter;Amerika;Arwin;Romeijn;Steven;Gilberts;2;6;3;7;5;;
NPB-100-Mix;XO;27.01.2019;;;PoolA;Gold;3;Mathijs;Ter Haar;Evelien;Boerkamp;Floris;Siderius;Patricia;Kalshoven;2;3;6;6;7;;
NPB-100-Mix;XO;27.01.2019;;;PoolA;Gold;3;Erwin;de Boerdere;Mariska;van Dalfsen;Floris;Siderius;Patricia;Kalshoven;2;6;7;1;6;;
NPB-100-Mix;XO;27.01.2019;;;PoolA;Gold;3;Mathijs;Ter Haar;Evelien;Boerkamp;Erwin;de Boerdere;Mariska;van Dalfsen;2;6;4;0;6;10;6
NPB-100-Mix;XO;27.01.2019;;;PoolB;Gold;3;Puck;Smies;Steven;Gilberts;Ingrid;Hanekamp;Karin;Kloosterziel;2;6;0;6;0;;
NPB-100-Mix;XO;27.01.2019;;;PoolB;Gold;3;Ina;van Lavieren;Jack;Engelaar;Puck;Smies;Steven;Gilberts;2;6;2;4;6;10;3
NPB-100-Mix;XO;27.01.2019;;;PoolB;Gold;3;Ina;van Lavieren;Jack;Engelaar;Ingrid;Hanekamp;Karin;Kloosterziel;2;6;3;6;0;;
NPB-100-Mix;XO;27.01.2019;;;KO1;Gold;2;Floris;Siderius;Patricia;Kalshoven;Ina;van Lavieren;Jack;Engelaar;2;3;6;6;2;5;10
NPB-100-HK;WO;27.01.2019;;;PoolA;Gold;3;Milou;Ettekoven;Marcella;Koek;Yvonne;Peeters;Cindy;Huberts;2;6;0;6;2;;
