court 4 GmbH;Axel;Bernhard;DE
court 4 GmbH;Björn;Boxberger;DE
court 4 GmbH;Jan;Zeitvogel;DE
court 4 GmbH;Mirko;Borna Nizic;RS
court 4 GmbH;Tim;Zeitvogel;DE
Füchse Berlin Reinickendorf e.V.;Christopher;Sell;DE
Füchse Berlin Reinickendorf e.V.;Christoph;Goerke;DE
Füchse Berlin Reinickendorf e.V.;Francisco;González Serrano;ES
Füchse Berlin Reinickendorf e.V.;Jasper;Ahrens;DE
Füchse Berlin Reinickendorf e.V.;Niklas;Grünke;DE
Füchse Berlin Reinickendorf e.V.;Nils;Heininger;DE
Füchse Berlin Reinickendorf e.V.;Steve;Matull;DE
Füchse Berlin Reinickendorf e.V.;Ulf;Lindberg;SE
KETV Karlsruher Eislauf und Tennisverein 1911 e.V.;Christian;Pöttinger;DE
KETV Karlsruher Eislauf und Tennisverein 1911 e.V.;Günter;Eckert;DE
KETV Karlsruher Eislauf und Tennisverein 1911 e.V.;Lutz;Ehmsen;DE
KETV Karlsruher Eislauf und Tennisverein 1911 e.V.;Mischa;Winde;DE
KETV Karlsruher Eislauf und Tennisverein 1911 e.V.;Oliver;Klenert;DE
KETV Karlsruher Eislauf und Tennisverein 1911 e.V.;Philipp;Heger;DE
PADELBASE Werne;Thorsten;Hirsch;DE
Padel Berlin;Alberto;Ferrero;IT
Padel Berlin;Aleksi;Seppo;IT
Padel Berlin;Alexander;Hillbricht;DE
Padel Berlin;Alexander;Hübsch;DE
Padel Berlin;Álvaro;Lázaro Gallego;ES
Padel Berlin;Andreas;Rümpel;DE
Padel Berlin;Ángel;Jiménez;ES
Padel Berlin;Annette;Issi;DE
Padel Berlin;Björn;Huteland;DE
Padel Berlin;Carlos;Aragón;MX
Padel Berlin;Carlos;Ibarra;ES
Padel Berlin;Carsten;Rasch;DE
Padel Berlin;Christiaan;Pieterse;ZA
Padel Berlin;Christian;La Roche de Ángel;ES
Padel Berlin;Christina;Tramburg;DE
Padel Berlin;Christoph;Mach;DE
Padel Berlin;Cuang;Nguyen;VN
Padel Berlin;Daniel;Alonso;ES
Padel Berlin;Danilov;Kyrill;DE
Padel Berlin;David;Folgado;ES
Padel Berlin;David;Vian Reyes;ES
Padel Berlin;Diego;Martínez;ES
Padel Berlin;Dietmar;Wilke;DE
Padel Berlin;Eduardo;Penaranda;BO
Padel Berlin;Enrico;Hartung;DE
Padel Berlin;Eric;Solanes;ES
Padel Berlin;Fabian;Graske;DE
Padel Berlin;Felix;Probst;DE
Padel Berlin;Felix;Ringelhan;DE
Padel Berlin;Fernando;Blanchart;ES
Padel Berlin;Florian;Gottschalk;DE
Padel Berlin;Francesco;Latella;IT
Padel Berlin;Gonzalo;Gran;ES
Padel Berlin;Guido;Pecoraro;AR
Padel Berlin;Guillermo;López;ES
Padel Berlin;Guillermo;Martínez;ES
Padel Berlin;Hernán;Cortés;ES
Padel Berlin;Ignacio;Hernández;ES
Padel Berlin;Jaime;Ravelo;MX
Padel Berlin;Jan;May;DE
Padel Berlin;Javier;García;ES
Padel Berlin;Javier;Gómez;ES
Padel Berlin;Jonathan;Menéndez Alonso;ES
Padel Berlin;Jordi;Basiana;ES
Padel Berlin;Jordi;Linares;ES
Padel Berlin;Jorge;Cloquell;ES
Padel Berlin;Jorge;Muñoz;ES
Padel Berlin;José Antonio;Gutiérrez;ES
Padel Berlin;José Miguel;Rioja;ES
Padel Berlin;José;Vidal;ES
Padel Berlin;Juan Carlos;Hernández;ES
Padel Berlin;Juan;García;ES
Padel Berlin;Juan;Ródenas;ES
Padel Berlin;Kersten;Lewerenz;DE
Padel Berlin;Klaus;Sosna;DE
Padel Berlin;Linda;Onnasch;DE
Padel Berlin;Lorenzo;García Grumbach;ES
Padel Berlin;Lucas;Felder;AT
Padel Berlin;Luis;Mañas;ES
Padel Berlin;Luta;Werner;DE
Padel Berlin;Malte;Horlinghausen;DE
Padel Berlin;Manuel;Wildmann;DE
Padel Berlin;Marcelo;Repetto;IT
Padel Berlin;Marc;Gladysz;NL
Padel Berlin;Marco;Müller;DE
Padel Berlin;Marcus;Jahnke;DE
Padel Berlin;Marsel;Schahin;DE
Padel Berlin;Martina;Sosna;DE
Padel Berlin;Matías;Bonet;ES
Padel Berlin;Mauro;Hernán Papa;AR
Padel Berlin;Maximilian;Brock;DE
Padel Berlin;Max;Marco;ES
Padel Berlin;Michael;Messingschlager;DE
Padel Berlin;Michael;Plehm;DE
Padel Berlin;Michael;Ullmann;DE
Padel Berlin;Miguel;Palomares;ES
Padel Berlin;Miki;Moncada;ES
Padel Berlin;Nadine;Oetzel;DE
Padel Berlin;Nico;Dávila;ES
Padel Berlin;Percy;Escobar;BO
Padel Berlin;Rafael;García;ES
Padel Berlin;Rafael;Melo;BR
Padel Berlin;Rune;Orloff;SE
Padel Berlin;Sabine;Schmidt;DE
Padel Berlin;Samuel;Fuentes;ES
Padel Berlin;Sergi;Albiol;ES
Padel Berlin;Stefan;Schmidt;DE
Padel Berlin;Stephan;Lewen;DE
Padel Berlin;Sven;Fässler;DE
Padel Berlin;Thomas;Robin;FR
Padel Berlin;Tomás;Gimeno;ES
Padel Berlin;Tommaso;Tidei;IT
Padel Berlin;Vishal;Kapadia;GB
Padel Berlin;Yhazmina;Díaz;ES
Padel Club am Marienberg CAM;Harald;Payrleitner;AT
Padel Club Berlin International e.V.;Alba;Moreno;ES
Padel Club Berlin International e.V.;Alejandro;Rodríguez;ES
Padel Club Berlin International e.V.;Álvaro;Rodríguez Delgado;ES
