NETHERLANDS;M. Point Life Style Center;Spijkenisse;Zuid-Holland;3205 LA;;;Gaddijk 43;0;1;http://www.mpoint.nl
NETHERLANDS;Tennis & Sportcentrum de Nieuwe Brug;Vijfhuizen;Noord-Holland;2141 BK;;;Vijfhuizerdijk 204;0;1;http://www.tc-denieuwebrug.nl
NETHERLANDS;T.E.Z. Tennisvereniging Enschede-Zuid;Enschede;Overijssel;7544 RB;;;Geessinkweg 154;0;3;http://www.tezenschede.nl
NETHERLANDS;TPC Maaspoort;‘s-Hertogenbosch;Noord-Brabant;5235 AB;;;Marathonloop 2;0;2;http://www.tcmaaspoort.nl
NETHERLANDS;Coronel Sports;Huizen;Noord-Holland;1271 AA;;;IJsselmeerstraat 5B;0;6;http://www.coronelsports.nl
NETHERLANDS;Sportplaza Zuiderpark;Rotterdam;Zuid-Holland;3062 CG;;;Oldegaarde 21;0;2;http://www.sportplazazuiderpark.nl
NETHERLANDS;Ulvenhoutse Tennisvereniging;Ulvenhout;Noord-Brabant;4851 AT;;;Jeugdland 4;0;4;http://www.ulvenhoutsetv.nl
NETHERLANDS;Sportcentrum Zeewolde;Zeewolde;Flevoland;3892 HC;;;Eikenlaan 92;2;1;http://sportcentrumzeewolde.nl
NETHERLANDS;Play Padel Club Amsterdam;Amsterdam;Noord-Holland;1077 CL;;;Olympiaplein 31I;0;3;https://playpadelclubamsterdam.padelclick.com/booking
NETHERLANDS;Sportcentrum Leeuwenbergh;Den Haag;Zuid-Holland;2495 BA;;;Lindelaan 7;0;4;https://www.sportcentrumleeuwenbergh.nl/
NETHERLANDS;Lawn Tennis Vereniging Lelystad;Lelystad;Lelystad;8223 PB;;;Sportparkweg 1;0;2;http://www.ltvl.nl
NETHERLANDS;La Playa;Rijswijk;Zuid-Holland;2288 ET;;;Cobbenhagenstraat 2a;5;0;https://www.laplaya.nl/padel/
NETHERLANDS;Tennispark Oosthout;Voorhout;Zuid-Holland;2215 ML;;;Fuchsiastraat 1;0;3;www.tennisparkoosthout.nl
NETHERLANDS;Sportcentrum De Dars;Wervershoof;Noord-Holland;1693 GV;;;Europasingel 114;1;0;http://www.dedars.nl/
NETHERLANDS;TPC Daalmeer;Alkmaar;Noord-Holland;1827 CK;;;Klaas Bootpad 4-6;0;3;http://www.tcdaalmeer.eu
NETHERLANDS;Tennis- en squashcentrum Nieuwe Sloot;Alphen aan de Rijn;Zuid-Holland;2402 NZ;;;President Kennedylaan 1;0;1;http://www.nieuwesloot.nl
NETHERLANDS;De Kegel;Amstelveen;Noord-Holland;1187 XC;;;Bovenkerkerweg 81;0;1;http://www.tennisdekegel.nl/padel
NETHERLANDS;Padel Dam;Amsterdam;Noord-Holland;1067 MC;;;Tom Schreursweg 14;0;4;http://www.padeldam.nl
NETHERLANDS;USC Tennis;Amsterdam;Noord-Holland;1098 NJ;;;Radioweg 80;0;2;http://www.usc.uva.nl
NETHERLANDS;Tennisvereniging ’t Root;Asten;Noord-Brabant;5721 CJ;;;Lienderweg 55;0;1;http://tvroot.nl
NETHERLANDS;Tennisvereniging Keltenwoud;Bennekom;Gelderland;6721 MR;;;Langschoterweg 9;0;3;https://keltenwoud.nl/
NETHERLANDS;Performance Factory;Enschede;Overijssel;7511 ZA;;;Hoge Bothofstraat 31-49;1;0;https://www.performancefactory.nl/sporten/
NETHERLANDS;T.C. de Kooistee;Hellevoetsluis;Zuid-Holland;;;3225 BZ;Schelpenpad 10;0;1;http://www.tc-de-kooistee.com
NETHERLANDS;Racketcentrum Houten;Houten;Utrecht;3994 XX;;;Pelmolen 7;0;2;http://www.racketcentrumhouten.nl
NETHERLANDS;Tennisvereniging Joure;Joure;Friesland;8501 KC;;;Zuiderveldstraat 2;0;2;http://www.tvjoure.nl
NETHERLANDS;Euregio Tennis & Padel Academy;Landgraaf;Limburg;6373 HL;;;Rukkenerweg 13;0;2;http://etp-academy.com
NETHERLANDS;Tennisvereniging Neede;Neede;Gelderland;7161 HE;;;Kronenkamp 8;0;1;http://www.tv-neede.nl
NETHERLANDS;Nijkerkse Tennisclub;Nijkerk;Gelderland;3862 RN;;;Bloemendaalseweg 5d;0;2;http://nijkerksetennisclub.nl/
