Id.de Torneo;Nombre Torneo;Categoria;Sexo;Fecha Torneo;Club1;Club2;Fase;Categ.;Par;Pais1;Pais2;Jugador 1 Race.Apellidos;Jugador 1 Race.Nombre;Jugador 2 Race.Apellidos;Jugador 2 Race.Nombre;Jugador 3 Race.Nombre;Jugador 3 Race.Apellidos;Jugador 4 Race.Nombre;Jugador 4 Race.Apellidos;Set-1-P1;Set-1-P2;Set-2-P1;Set-2-P2;Set-3-P1;Set-3-P2
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Bye;Bye;Bye;Bye;Facundo;Domínguez;Vasco;Pascoal;0;6;0;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Tison;Benjamin;Scatena;Jeremy;Bye;Bye;Bye;Bye;6;0;6;0;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Arrondo Pérez;Iván;Corona Roldán;Adrián;Javier;de Paiz Ferrer;Bastien;Blanque;5;7;7;5;2;6
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Sánchez Chamero;Emilio;Gil Muñoz;Alejandro;Carlos;Pérez Cabeza;Javier;Bravo Álvarez;4;6;1;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Karelovic Rojas;Matías;Álvarez Tapia;Francisco;Maxime;Moreau;Pablo;Acevedo Iturribarria;0;6;2;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Jurado Sosa;Francisco;Menéndez Gil;Jaime;Christian;Medina Murphy;Carlos;Ibáñez Orquín;6;4;6;2;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Trancart;Nicolas;Leygue;Thomas;Boris;Castro García;Daniel;de Castro Bautista;2;6;1;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Mena Macías;José;Rodríguez Vidal;Karlos;Jaime;Muñoz Enrile;Javier;García Mora;4;6;5;7;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO32PP;Gold;2;;;Bye;Bye;Bye;Bye;Eduardo;Alonso Chillarón;Miguel;González García;0;6;0;6;;
WPT;Cervezas Victoria Marbella Master 2020 - Masculino ;WPT-MASTER;MO;08.03.2020;;;KO16PP;Gold;2;;;Icardo Alcorisa;Sergio;Benavides Ponce de León;José María;Iago;González Niño;Pelayo;Villaverde Millán;7;5;6;1;;
