International;World Padel Tour;WO;Bruna;Albuquerque Melo;Albuquerque Melo_Bruna;43366;8;8;
International;World Padel Tour;WO;Bruna;Albuquerque Melo;Albuquerque Melo_Bruna;43597;13;5;
International;World Padel Tour;WO;Bruna;Albuquerque Melo;Albuquerque Melo_Bruna;43731;13;8;-8
International;World Padel Tour;WO;Sabrina;Allegra;Allegra_Sabrina;43603;2;2;
International;World Padel Tour;WO;Verónica;Almeida Pérez;Almeida Pérez_Verónica;43275;5;5;
International;World Padel Tour;WO;Verónica;Almeida Pérez;Almeida Pérez_Verónica;43282;30;25;
International;World Padel Tour;WO;Verónica;Almeida Pérez;Almeida Pérez_Verónica;43338;38;8;
International;World Padel Tour;WO;Verónica;Almeida Pérez;Almeida Pérez_Verónica;43352;43;5;
International;World Padel Tour;WO;Verónica;Almeida Pérez;Almeida Pérez_Verónica;43380;51;8;
International;World Padel Tour;WO;Verónica;Almeida Pérez;Almeida Pérez_Verónica;43422;55;4;
International;World Padel Tour;WO;Verónica;Almeida Pérez;Almeida Pérez_Verónica;43640;50;;-5
International;World Padel Tour;WO;Verónica;Almeida Pérez;Almeida Pérez_Verónica;43647;25;;-25
International;World Padel Tour;WO;Verónica;Almeida Pérez;Almeida Pérez_Verónica;43703;17;;-8
International;World Padel Tour;WO;Verónica;Almeida Pérez;Almeida Pérez_Verónica;43717;12;;-5
International;World Padel Tour;WO;Verónica;Almeida Pérez;Almeida Pérez_Verónica;43745;4;;-8
International;World Padel Tour;WO;Verónica;Almeida Pérez;Almeida Pérez_Verónica;43787;0;;-4
International;World Padel Tour;WO;Catarina;Almeida;Almeida_Catarina;43597;5;5;
International;World Padel Tour;WO;Catarina;Almeida;Almeida_Catarina;43731;13;8;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43184;;110;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43198;;115;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43226;;90;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43247;;205;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43275;;40;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43282;;50;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43289;;70;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43324;;40;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43338;;90;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43352;;90;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43366;;70;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43373;;40;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43401;;40;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43429;;40;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43465;1090;;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43563;1015;;-115
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43569;1105;90;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43583;1145;40;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43591;1055;;-90
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43597;1095;40;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43611;1135;40;
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43612;930;;-205
International;World Padel Tour;WO;Lorena;Alonso de Lera;Alonso de Lera_Lorena;43639;1000;70;
