Kick-Off German Padel Series 2017;GPS-500;MO;29/01/2017;;;KO4;Silver;2;Zeitvogel;Tim;Eckert;Marvin;Ströhl;Richard;Grambow;Ralph;2;6;0;6;0;;;;
Kick-Off German Padel Series 2017;GPS-500;MO;29/01/2017;;;KO4;Silver;2;Kopkau;Andreas;Carvalho;Nuno;Knippschild;Jens;Nowicki;Mischa;2;6;0;6;0;;;;
Kick-Off German Padel Series 2017;GPS-500;MO;29/01/2017;;;KO4;Silver;2;Samuelsen;Lennart;Mann;Yannik;Wald;Christian;Rose;Mike;2;6;0;6;0;;;;
Kick-Off German Padel Series 2017;GPS-500;MO;29/01/2017;;;KO2;Silver;2;Deters;Jannik;Bott;Frederick;Zeitvogel;Tim;Eckert;Marvin;2;4;6;3;6;;;;
Kick-Off German Padel Series 2017;GPS-500;MO;29/01/2017;;;KO2;Silver;2;Kopkau;Andreas;Carvalho;Nuno;Samuelsen;Lennart;Mann;Yannik;2;0;6;3;6;;;;
Kick-Off German Padel Series 2017;GPS-500;MO;29/01/2017;;;POS3;Silver;2;Deters;Jannik;Bott;Frederick;Kopkau;Andreas;Carvalho;Nuno;2;1;6;6;0;7;11;;
Kick-Off German Padel Series 2017;GPS-500;MO;29/01/2017;;;KO1;Silver;2;Zeitvogel;Tim;Eckert;Marvin;Samuelsen;Lennart;Mann;Yannik;2;7;5;6;7;6;3;;
Kick-Off German Padel Series 2017 - Damen;GPS-WOMEN;WO;29/01/2017;;;PoolA;Gold;3;Pietzko;Julia;Scholten;Corina;Luizelli;Bequi;Sánchez Navarro;María;2;6;0;6;1;;;;
Kick-Off German Padel Series 2017 - Damen;GPS-WOMEN;WO;29/01/2017;;;PoolA;Gold;3;Hellmich;Anna;Philippen;Meike;Luizelli;Bequi;Sánchez Navarro;María;2;3;6;1;6;;;;
Kick-Off German Padel Series 2017 - Damen;GPS-WOMEN;WO;29/01/2017;;;PoolA;Gold;3;Pietzko;Julia;Scholten;Corina;Hellmich;Anna;Philippen;Meike;2;6;0;6;0;;;;
Kick-Off German Padel Series 2017 - Damen;GPS-WOMEN;WO;29/01/2017;;;PoolB;Gold;3;Nothoff;Nicola;Peeters;Yvonne;Meier;Jana;Thurm;Saskia;2;6;2;6;1;;;;
Kick-Off German Padel Series 2017 - Damen;GPS-WOMEN;WO;29/01/2017;;;PoolB;Gold;3;Langerbein;Caroline;Petersen;Maike;Meier;Jana;Thurm;Saskia;2;6;2;6;1;;;;
Kick-Off German Padel Series 2017 - Damen;GPS-WOMEN;WO;29/01/2017;;;PoolB;Gold;3;Nothoff;Nicola;Peeters;Yvonne;Langerbein;Caroline;Petersen;Maike;2;4;6;6;7;;;;
Kick-Off German Padel Series 2017 - Damen;GPS-WOMEN;WO;29/01/2017;;;KO1;Gold;2;Pietzko;Julia;Scholten;Corina;Langerbein;Caroline;Petersen;Maike;2;6;2;6;2;;;;
Kick-Off German Padel Series 2017 - Damen;GPS-WOMEN;WO;29/01/2017;;;POS3;Gold;2;Luizelli;Bequi;Sánchez Navarro;María;Nothoff;Nicola;Peeters;Yvonne;2;1;6;0;6;;;;
Kick-Off German Padel Series 2017 - Damen;GPS-WOMEN;WO;29/01/2017;;;POS5;Gold;2;Hellmich;Anna;Philippen;Meike;Meier;Jana;Thurm;Saskia;2;6;4;2;6;5;7;;
