GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolA;Gold;4;Tennis-Club Grötzingen e.V.;Sportcenter Hahn;Schwörer;Oliver;Panske;Claudius;Hahn;Christopher;Dal-Ri;Gabriel;2;4;6;1;6;;
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolA;Gold;4;Tennis-Club Grötzingen e.V.;Sportcenter Hahn;Strauss;Oliver;Herhoffer;Marco;Dorsch;Benedikt;Schmidt;Fabian;2;0;6;1;6;;
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolA;Gold;4;Tennis-Club Grötzingen e.V.;Sportcenter Hahn;Dietz;Timo;Saugy;Mael;Picco;Francesco;Haug;Ruben;2;4;6;6;3;1;6
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolA;Gold;4;Tennis-Club Grötzingen e.V.;Turn- und Sportgemeinde Rohrbach 1889 e.V.;Schwörer;Oliver;Panske;Claudius;Hahn;Christopher;Dal-Ri;Gabriel;2;4;6;1;6;;

GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolB;Gold;4;Tennisclub TC 71 Weyhe e.V.;Treptower Padelverein e.V.;Bosselmann;Lars;Truempler;Erik;Meléndez Núñez;Gabriel;Martínez;Guillermo;2;6;1;6;0;;
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolB;Gold;4;Tennisclub TC 71 Weyhe e.V.;Treptower Padelverein e.V.;Jürgens;Yessa;Zeichner;Florian;Rodríguez Berenguer;Francisco;Ugalde;Dionisio;2;6;3;6;1;;
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolB;Gold;4;Tennisclub TC 71 Weyhe e.V.;Treptower Padelverein e.V.;Breyer;Eike;Daum;Malte;García Grumbach;Lorenzo;González Teruel;Roberto;2;6;0;6;0;;
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolB;Gold;4;Unisport Köln;Tennisclub TC 71 Weyhe e.V.;Gutiérrez Soria;Ignacio;Thavisin;Ben;Bosselmann;Lars;Truempler;Erik;2;0;6;2;6;;
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolB;Gold;4;Unisport Köln;Tennisclub TC 71 Weyhe e.V.;Bierschel;Ingo;Bertram;Matthias;Jürgens;Yessa;Zeichner;Florian;2;1;6;7;6;3;6
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolB;Gold;4;Unisport Köln;Tennisclub TC 71 Weyhe e.V.;Goth;Tobias;Hübel;Hendrik;Breyer;Eike;Daum;Malte;2;6;7;2;6;;

GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolC;Gold;4;Tennisclub TC 71 Weyhe e.V.;Treptower Padelverein e.V.;Bosselmann;Lars;Truempler;Erik;Meléndez Núñez;Gabriel;Martínez;Guillermo;2;6;1;6;0;;
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolC;Gold;4;Tennisclub TC 71 Weyhe e.V.;Treptower Padelverein e.V.;Jürgens;Yessa;Zeichner;Florian;Rodríguez Berenguer;Francisco;Ugalde;Dionisio;2;6;3;6;1;;
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolC;Gold;4;Tennisclub TC 71 Weyhe e.V.;Treptower Padelverein e.V.;Breyer;Eike;Daum;Malte;García Grumbach;Lorenzo;González Teruel;Roberto;2;6;0;6;0;;
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolC;Gold;4;Unisport Köln;Tennisclub TC 71 Weyhe e.V.;Gutiérrez Soria;Ignacio;Thavisin;Ben;Bosselmann;Lars;Truempler;Erik;2;0;6;2;6;;
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolC;Gold;4;Unisport Köln;Tennisclub TC 71 Weyhe e.V.;Bierschel;Ingo;Bertram;Matthias;Jürgens;Yessa;Zeichner;Florian;2;1;6;7;6;3;6
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolC;Gold;4;Unisport Köln;Tennisclub TC 71 Weyhe e.V.;Goth;Tobias;Hübel;Hendrik;Breyer;Eike;Daum;Malte;2;6;7;2;6;;

GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolD;Gold;4;Condor Padel;GreenTEC Campus GmbH;Wiessner;Christian;Oest;Sven;Rabethge;Leon Josh;Jensen;Tade;2;6;1;6;1;;
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolD;Gold;4;Condor Padel;GreenTEC Campus GmbH;Rodríguez Benito;David;Richter;Felix;Paulsen;Nahne;Busse;Marius;2;6;0;6;1;;
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolD;Gold;4;Condor Padel;GreenTEC Campus GmbH;Malter;Markus;Gründemann;Marco;Magnussen;Niklas;Holdorf;Fabian;2;2;6;6;4;3;6
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolD;Gold;4;Füchse Berlin Reinickendorf e.V.;Hallescher Tennisclub Peißnitz e.V.;Papa;Mauro Hernán;Ahrens;Jasper;Bornschein;Martin;Müller;Tobias;2;6;2;6;1;;
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolD;Gold;4;Füchse Berlin Reinickendorf e.V.;Hallescher Tennisclub Peißnitz e.V.;Goerke;Christoph;Heininger;Nils;Eichentopf;Conrad;Beinroth;Thomas;2;7;5;6;3;;
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolD;Gold;4;Füchse Berlin Reinickendorf e.V.;Hallescher Tennisclub Peißnitz e.V.;González Serrano;Francisco;Sell;Christopher;Jentsch;Oliver;Darmochwal;Hannes;2;6;1;6;1;;
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolD;Gold;4;Condor Padel;Füchse Berlin Reinickendorf e.V.;Wiessner;Christian;Müller;Hans Ole;Sell;Christopher;Papa;Mauro Hernán;2;6;1;6;4;;
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolD;Gold;4;Condor Padel;Füchse Berlin Reinickendorf e.V.;Rodríguez Benito;David;Richter;Felix;Ahrens;Jasper;Seelmann;Samuel Felipe;2;6;7;2;6;;
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolD;Gold;4;Condor Padel;Füchse Berlin Reinickendorf e.V.;Neidhardt;Tim;Oest;Sven;Goerke;Christoph;Heininger;Nils;2;1;6;4;6;;
GERMANY;Bundesliga - Herren Open;BUNDESLIGA;MO;31.12.2020;;;PoolD;Gold;4;GreenTEC Campus GmbH;Hallescher Tennisclub Peißnitz e.V.;Paulsen;Nahne;Busse;Marius;Eichentopf;Conrad;Beinroth;Thomas;2;1;6;2;6;;
