2nd Official Padel League;TH-A;O;30.05.2019;;;PoolA;Gold;7;Bussayadiloksul;Namrin;Skrinda;Linda;Ferraz;Borja;Lavie;Vladimir;2;3;6;1;6;2;6
"Jamón Jamón Padel League ""A""";TH-A;O;03.11.2019;;;PoolA;Gold;4;Joris;;"Chaichana ""Opal""";Sathit;Santos;Fernando;Corona Suárez;Carlos;2;4;6;0;6;0;6
"Jamón Jamón Padel League ""A""";TH-A;O;03.11.2019;;;PoolA;Gold;4;Santos;Fernando;Corona Suárez;Carlos;Taylor;;Lavie;Vladimir;2;6;1;2;6;2;6
"Jamón Jamón Padel League ""A""";TH-A;O;03.11.2019;;;PoolA;Gold;4;Joris;;"Chaichana ""Opal""";Sathit;Pablo;;Jim;;2;6;4;3;6;0;6
"Jamón Jamón Padel League ""A""";TH-A;O;03.11.2019;;;PoolA;Gold;4;Taylor;;Lavie;Vladimir;Joris;;"Chaichana ""Opal""";Sathit;2;6;3;6;3;6;2
"Jamón Jamón Padel League ""A""";TH-A;O;03.11.2019;;;PoolA;Gold;4;Pablo;;Jim;;Taylor;;Lavie;Vladimir;2;6;1;7;6;3;6
"Jamón Jamón Padel League ""A""";TH-A;O;03.11.2019;;;PoolA;Gold;4;Santos;Fernando;Corona Suárez;Carlos;Pablo;;Jim;;2;4;6;6;3;6;7
"Jamón Jamón Padel League ""A""";TH-A;O;03.11.2019;;;PoolA;Gold;4;Santos;Fernando;Corona Suárez;Carlos;Joris;;"Chaichana ""Opal""";Sathit;2;7;6;7;5;6;1
"Jamón Jamón Padel League ""A""";TH-A;O;03.11.2019;;;PoolA;Gold;4;Taylor;;Lavie;Vladimir;Santos;Fernando;Corona Suárez;Carlos;2;7;5;6;4;6;2
"Jamón Jamón Padel League ""A""";TH-A;O;03.11.2019;;;PoolA;Gold;4;Pablo;;Jim;;Joris;;"Chaichana ""Opal""";Sathit;2;6;3;6;3;6;2
"Jamón Jamón Padel League ""A""";TH-A;O;03.11.2019;;;PoolA;Gold;4;Joris;;"Chaichana ""Opal""";Sathit;Taylor;;Lavie;Vladimir;2;0;6;1;6;4;6
"Jamón Jamón Padel League ""A""";TH-A;O;03.11.2019;;;PoolA;Gold;4;Taylor;;Lavie;Vladimir;Pablo;;Jim;;2;2;6;6;7;4;6
