PoolA;Gold;2
PoolA;Gold;3
PoolA;Gold;4
PoolA;Gold;5
PoolA;Gold;6
PoolA;Gold;7
PoolA;Gold;8
PoolA;Silver;2
PoolA;Silver;4
PoolB;Gold;5
PoolB;Gold;4
PoolB;Gold;3
PoolB;Gold;2
PoolB;Silver;4
PoolC;Gold;4
PoolC;Gold;3
PoolC;Gold;2
PoolD;Gold;4
PoolD;Gold;3
PoolD;Gold;2
PoolD;Silver;4
PoolE;Gold;4
PoolE;Gold;3
PoolF;Gold;4
PoolF;Gold;3
PoolG;Gold;3
PoolH;Gold;3
PoolY;Gold;2
PoolY;Gold;3
PoolY;Gold;4
PoolZ;Gold;2
PoolZ;Gold;3
PoolZ;Gold;4
PoolZ;Gold;6

;;
;;
Division;Gold;8
Division;Gold;7
Division;Gold;6
Division;Gold;4
;;
;;
POS20;Gold;2
POS18;Gold;2
POS16;Gold;2
POS15;Gold;2
POS13;Gold;2
POS12;Gold;2
POS11;Gold;2
POS10;Gold;2
POS9;Gold;2
POS8;Gold;2
POS7;Gold;2
POS5;Gold;2
POS3;Gold;2
POS3;Silver;2
POS3;Bronze;2
POS3;Wood;2
;;
KO16;Gold;2
KO8;Gold;2
KO4;Gold;2
KO4;Gold;3
KO2;Gold;2
KO1;Gold;2
;;
Division;Silver;8
Division;Silver;7
Division;Silver;5
Division;Silver;3
;;
;;
Division;Bronze;7
;;
;;
KO8;Silver;2
KO4;Silver;2
KO2;Silver;2
KO1;Silver;2
;;
KO4;Bronze;2
KO2;Bronze;2
KO1;Bronze;2
;;
;;
KO2;Wood;2
KO1;Wood;2
;;
;;
Liga;Gold;10
Liga;Gold;9
Liga;Gold;8
Liga;Gold;7
Liga;Gold;6
Liga;Gold;5
